,instruction,Category
614,I do not know wht I have to do to get my invoice #85632,Shipping
615,I need assistance seeing the damn early exit charges,Cancellations and returns
616,need help canceling purchase {{Order Number}},Order
617,canceling purchase {{Order Number}},Order
618,can you help me to open a freemium account?,Login and Account
619,"my delivery address changed, help me update it",Shipping
620,i try to submit my shipping address,Shipping
621,could you help me set up the new shipping address?,Shipping
622,wanna use thed freemium profile can ya help me,Login and Account
623,i do not know what i need to do to download my bill #00108,Shipping
624,i cant see order {{Order Number}} goddamn current satus,Order
625,"I cannot pay, where canI report problems with payment?",Order
626,how do I use the {{Account Category}} account?,Login and Account
627,I do not know how  I can reset my access key,Login and Account
628,can ya help me cancel my standard account,Login and Account
629,how do I report a problem with payments?,Order
630,I have errors trying to modify my shipping address,Shipping
631,where could I see what payment options you accept?,Order
632,i exepct a restitution of {{Currency Symbol}}{{Refund Amount}},Cancellations and returns
633,open {{Account Type}} account for wife,Login and Account
634,help me to notify of an reror with payments,Order
635,is it possible to write a comment about your company?,Shopping
636,i dont know how i can list the allowed payment options,Order
637,can i place an oeder from {{Delivery City}},Shipping
638,"I can't afford order {{Order Number}}, how can I cancel it?",Order
639,i expect a restitution of {{Refund Amount}} dollafs,Cancellations and returns
640,I have issues trying to register,Login and Account
641,help retrieving the PIN of my account,Login and Account
642,i need assistance to set up the new delivery address,Shipping
643,how to open a {{Account Type}} account for my fiance,Login and Account
644,i have to notify of sign-up issues,Login and Account
645,I don't know what I have to do to demand my money back,Cancellations and returns
646,I need to inform of a trouble with online payment,Order
647,where to pucrhase some items,Order
648,I do not know how I can make a bloody reclamation,Shopping
649,need assistanmce checking how soon can I expect the package,Shipping
650,can you help me check the early exit penalties?,Cancellations and returns
651,I have to subscribe to your newsletter,Login and Account
652,rebate {{Refund Amount}} dollarx,Cancellations and returns
653,i cannot switch to the premium account,Login and Account
654,i want help ti use the freemium account,Login and Account
655,need help leaving a comment about your services,Shopping
656,assistance checking the early exit charges,Cancellations and returns
657,I want assistance reporting an issue with a signup,Login and Account
658,getting invoice from {{Person Name}},Shipping
659,how can i check purchase {{Order Number}} current status,Order
660,can ya help me seeing if there are any news on my refund,Cancellations and returns
661,"I need to report a fucking registration error, help me",Login and Account
662,I am trying to see in what cases can I request refunds,Cancellations and returns
663,correct information on {{Account Type}} account,Login and Account
664,help to switch to the premium account,Login and Account
665,is it possible to cancel purchase {{Order Number}}?,Order
666,I have to report issuse with a sign-up,Login and Account
667,"I cannot remember my account PIN, I haved to reset it",Login and Account
668,I need assistance adding several articles to order {{Order Number}},Order
669,how to see when will my purchase arrive?,Shipping
670,there is an error setting up my shipping address,Shipping
671,help me list your available payment methods,Order
672,notify of a signup issue,Login and Account
673,I'm waiting for a restitution of {{Currency Symbol}}{{Refund Amount}},Cancellations and returns
674,help recovering my profile access key,Login and Account
675,I want to see in which cases can I ask for my money back,Cancellations and returns
676,is it possible to place an order from {{Delivery City}},Shipping
677,I do not know how I can see the current status of the refund,Cancellations and returns
678,I need assistance to give a quick look at the invoice #85632,Shipping
679,need to switch to the pro account help me,Login and Account
680,assistance to leave a comment for a service,Shopping
681,i have errors modifying my shipping address,Shipping
682,i have to see the status of order {{Order Number}} help me,Order
683,I am calling to file a complaint against your organization,Shopping
684,where could I take a quick look at invokce #37777?,Shipping
685,can i place an oeder from {{Delivery City}},Shipping
686,checking order {{Order Number}} status,Order
687,i dont  understand ya assistance speaking to a live agent,Warranty
688,I cannot switch to the {{Account Type}} account,Login and Account
689,can ya help me change to the {{Account Type}} account,Login and Account
690,need help to see what shipment options I can choose,Shipping
